Item,Count,Price,Link
Seeed Studio XIAO ESP32-C6,1,$5.20,https://www.seeedstudio.com/Seeed-Studio-XIAO-ESP32C6-p-5884.html
3mm 940nm IR LED,4,$1.47/lot,https://www.aliexpress.com/item/1005002345587711.html
2N2222 transistor,1,$3.75/lot,https://www.aliexpress.com/item/1005010396511377.html
220 Ohm resistor,1,$0.63/lot,https://www.aliexpress.com/item/1005002489867848.html
47 Ohm resistor,4,$0.63/lot,https://www.aliexpress.com/item/1005002489867848.html
BME280 sensor breakout board,1,$4.00,https://www.aliexpress.com/item/1005012601108975.html
Heat brass inserts,4,$7.09/lot,https://www.aliexpress.com/item/1005006798286851.html
M2 Screws,4,$3.85/lot,https://www.aliexpress.com/item/4000038065691.html
PCB,1,$2.00,https://www.jlcpcb.com/
Shipping,,$63.05,
Total,,$89.81,